           9          21  = Z, N
      456789  = random seed
  #      Ehf       J^2 (   Jx^2   Jy^2   Jz^2 )  beta  gamma (#iter) 
  1    -274.980   22.049(   6.40   6.69   8.96 ) 0.065 58.932 (  461)
  2    -274.977   21.882(   6.92   6.89   8.07 ) 0.065 57.592 (  718)
  3    -274.980   22.048(   6.73   6.36   8.95 ) 0.065 58.751 (  305)
  4    -274.893   17.409(   5.50   3.75   8.15 ) 0.070 48.501 (  227)
  5    -274.980   22.055(   8.80   6.41   6.84 ) 0.065 59.131 (  843)
  6    -274.980   22.050(   8.09   6.69   7.27 ) 0.065 58.936 (  328)
  7    -274.980   22.046(   6.94   6.40   8.71 ) 0.065 58.995 (  533)
  8    -274.893   17.427(   6.52   3.77   7.14 ) 0.070 48.602 (  262)
  9    -274.978   21.971(   6.38   6.81   8.79 ) 0.065 58.149 (  797)
 10    -274.893   17.454(   6.81   3.72   6.92 ) 0.070 48.333 (  221)
 11    -274.980   22.052(   6.57   6.70   8.79 ) 0.065 58.895 (  366)
 12    -274.980   22.047(   6.58   6.70   8.77 ) 0.065 58.870 (  336)
 13    -274.980   22.036(   6.81   6.64   8.59 ) 0.065 59.217 (  514)
 14    -274.893   17.457(   6.07   3.71   7.67 ) 0.070 48.301 (  218)
 15    -274.978   21.920(   6.92   6.87   8.14 ) 0.065 57.722 (  846)
