           4          15  = Z, N
      456789  = random seed
  #      Ehf       J^2 (   Jx^2   Jy^2   Jz^2 )  beta  gamma (#iter) 
  1    -136.255   30.694(   4.79  11.47  14.43 ) 0.178 14.681 (  151)
  2    -136.255   30.631(   3.45  11.51  15.67 ) 0.178 14.456 (  145)
  3    -136.230   30.853(   4.38  16.01  10.46 ) 0.178 15.288 (  135)
  4    -136.230   30.856(   9.43  16.01   5.41 ) 0.178 15.285 (  296)
  5    -136.254   30.614(  11.56   3.18  15.87 ) 0.178 14.394 (  126)
  6    -136.254   30.680(  14.28   3.28  13.12 ) 0.178 14.642 (  499)
  7    -136.253   30.713(  12.56   3.33  14.83 ) 0.178 14.757 (  260)
  8    -136.255   30.687(   5.59  11.48  13.62 ) 0.178 14.656 (  146)
  9    -136.230   30.791(   6.00  16.00   8.79 ) 0.178 15.053 (  292)
 10    -136.255   30.663(   6.36  11.49  12.81 ) 0.178 14.570 (  145)
 11    -136.230   30.855(   3.60  16.01  11.24 ) 0.178 15.300 (  142)
 12    -136.255   30.651(   3.42  11.50  15.73 ) 0.178 14.528 (  166)
 13    -136.238   31.083(  13.04  11.19   6.85 ) 0.178 15.591 (  335)
 14    -136.255   30.641(  14.58  11.51   4.56 ) 0.178 14.491 (  149)
 15    -136.230   30.843(  11.69   3.58  15.57 ) 0.178 15.276 (  298)
