           7          21  = Z, N
      456789  = random seed
  #      Ehf       J^2 (   Jx^2   Jy^2   Jz^2 )  beta  gamma (#iter) 
  1    -228.914   23.463(  10.76   9.30   3.40 ) 0.092 49.478 (  654)
  2    -228.915   23.480(   9.78   2.36  11.34 ) 0.092 49.477 (  499)
  3    -228.914   23.464(  10.00   2.36  11.10 ) 0.092 49.476 (  579)
  4    -228.915   23.466(   9.34   2.36  11.77 ) 0.092 49.476 (  456)
  5    -228.915   23.490(   2.46   9.31  11.72 ) 0.092 49.477 (  642)
  6    -228.914   23.460(   2.52   9.30  11.65 ) 0.092 49.474 (  525)
  7    -228.914   23.481(  11.00   9.31   3.17 ) 0.092 49.477 (  615)
  8    -228.771   23.364(  10.50   2.50  10.37 ) 0.090 49.629 (  328)
  9    -228.914   23.470(  10.38   2.36  10.73 ) 0.092 49.477 (  429)
 10    -228.914   23.478(  10.71   2.36  10.41 ) 0.092 49.476 (  392)
 11    -228.830   22.177(   8.71  10.53   2.93 ) 0.089 49.818 (  532)
 12    -228.915   23.491(   9.33   2.35  11.81 ) 0.092 49.473 (  515)
 13    -228.914   23.466(   9.46   2.36  11.65 ) 0.092 49.476 (  572)
 14    -228.914   23.497(   9.61   2.35  11.53 ) 0.092 49.471 (  434)
 15    -228.830   22.215(   5.29  10.55   6.38 ) 0.089 49.779 (  442)
