           8          21  = Z, N
      456789  = random seed
  #      Ehf       J^2 (   Jx^2   Jy^2   Jz^2 )  beta  gamma (#iter) 
  1    -252.765   22.012(   8.76   6.64   6.61 ) 0.083 40.486 (  111)
  2    -252.763   21.888(   5.92  10.90   5.07 ) 0.083 40.340 (  444)
  3    -252.763   21.904(   6.51  10.91   4.49 ) 0.083 40.444 (  779)
  4    -252.763   21.876(   6.95   4.20  10.73 ) 0.083 40.218 (  756)
  5    -252.765   21.968(   4.27   6.63  11.07 ) 0.083 40.548 (  106)
  6    -252.765   21.974(   4.62   6.64  10.72 ) 0.083 40.571 (  101)
  7    -252.766   22.002(  10.36   6.74   4.91 ) 0.083 40.408 (  121)
  8    -252.763   21.896(   8.10   4.19   9.61 ) 0.083 40.384 (  795)
  9    -252.763   21.899(   9.24   4.19   8.47 ) 0.083 40.333 (  879)
 10    -252.763   21.898(  10.13   4.19   7.58 ) 0.083 40.340 (  826)
 11    -252.766   21.989(   6.53  10.98   4.47 ) 0.083 40.569 (  120)
 12    -252.763   21.898(   6.95   4.19  10.76 ) 0.083 40.397 (  771)
 13    -252.763   21.899(   6.81   4.19  10.90 ) 0.083 40.385 (  767)
 14    -252.763   21.899(   9.69   4.19   8.02 ) 0.083 40.414 (  765)
 15    -252.763   21.898(   7.98   4.18   9.74 ) 0.083 40.419 (  909)
