           6          20  = Z, N
      456789  = random seed
  #      Ehf       J^2 (   Jx^2   Jy^2   Jz^2 )  beta  gamma (#iter) 
  1    -203.104   25.492(  11.02  12.75   1.73 ) 0.121 60.000 (   62)
  2    -203.104   25.495(  12.75  -0.00  12.75 ) 0.121 60.000 (  143)
  3    -203.104   25.473(  12.74   0.00  12.74 ) 0.121 60.000 (  395)
  4    -203.104   25.502(   8.99  12.75   3.76 ) 0.121 60.000 (  250)
  5    -203.104   25.495(   0.52  12.75  12.22 ) 0.121 60.000 (  179)
  6    -203.104   25.492(   0.14  12.75  12.61 ) 0.121 60.000 (   20)
  7    -203.104   25.492(   3.11  12.75   9.64 ) 0.121 60.000 (   62)
  8    -203.104   25.464(  12.73   0.00  12.73 ) 0.121 60.000 (  143)
  9    -203.104   25.496(  12.75   0.00  12.75 ) 0.121 60.000 (  148)
 10    -203.104   25.496(  12.75   0.00  12.75 ) 0.121 59.999 (  413)
 11    -203.105   25.492(  12.69  12.75   0.06 ) 0.121 60.000 (   20)
 12    -203.105   25.492(  11.83  12.75   0.91 ) 0.121 60.000 (   20)
 13    -203.104   25.443(  12.72   0.00  12.72 ) 0.121 59.999 (  396)
 14    -203.104   25.493(  12.75  -0.00  12.75 ) 0.121 60.000 (  254)
 15    -203.104   25.495(   7.87  12.75   4.88 ) 0.121 60.000 (  212)
